length,num_links,num_special_chars,num_keywords,num_urls,num_domains,num_ip_addresses,html_tags,js_code
1089,2,40,0,2,2,0,True,False
1361,3,50,1,3,3,0,True,False
3330,9,128,1,9,5,0,True,False
568,1,11,8,1,1,0,True,False
1326,2,34,1,1,1,0,True,False
790,4,55,6,2,1,0,True,False
1027,4,44,3,4,4,0,True,False
746,1,30,9,1,1,0,True,False
3171,19,143,5,18,2,0,True,False
1738,2,36,6,2,2,0,True,False
549,2,31,4,1,1,0,True,False
2695,13,106,5,13,4,0,True,False
1457,3,52,2,3,3,0,True,False
1438,0,47,0,0,0,0,False,False
1445,0,44,2,0,0,0,False,False
870,4,33,8,3,3,0,True,False
1224,6,70,1,6,5,0,True,False
1315,11,57,1,6,4,0,True,False
271,0,6,0,0,0,0,False,False
5447,15,286,11,13,4,0,True,False
417,0,9,0,0,0,0,False,False
439,0,10,0,0,0,0,False,False
864,2,28,7,2,1,0,True,False
864,2,28,7,2,1,0,True,False
663,2,19,6,2,2,0,True,False
4634,13,102,0,13,9,0,True,False
1203,4,48,0,4,3,0,True,False
496,0,8,0,0,0,0,False,False
1701,2,38,2,2,2,0,True,False
433,1,20,1,1,1,0,True,False
626,0,11,1,0,0,0,False,False
1244,1,23,1,1,1,0,False,False
768,1,13,8,1,1,0,True,False
298,0,4,2,0,0,0,False,False
619,0,16,1,0,0,0,False,False
334,0,14,0,0,0,0,False,False
480,0,17,0,0,0,0,False,False
909,2,19,8,2,2,0,True,False
553,5,34,4,5,1,0,True,False
660,0,46,0,0,0,0,True,False
482,0,6,3,0,0,0,False,False
1257,6,55,0,5,4,0,True,False
1348,7,78,0,7,3,0,True,False
1040,2,33,3,2,1,0,True,False
799,2,38,3,1,1,0,True,False
1066,0,27,0,0,0,0,True,False
1148,1,27,4,1,1,0,True,False
1117,0,28,0,0,0,0,False,False
6915,0,502,1,0,0,14,False,False
384,0,14,0,0,0,0,False,False
1071,0,27,0,0,0,0,False,False
237,0,4,0,0,0,0,False,False
636,0,20,0,0,0,0,False,False
622,0,19,0,0,0,0,True,False
203,1,9,3,1,1,0,True,False
353,1,12,3,1,1,0,True,False
88,0,2,0,0,0,0,False,False
3283,0,148,1,0,0,0,False,False
161,0,6,0,0,0,0,False,False
174,0,4,0,0,0,0,False,False
141,0,4,0,0,0,0,False,False
2444,4,77,1,4,3,0,True,False
373,0,18,0,0,0,0,True,False
167,0,3,0,0,0,0,False,False
491,0,13,2,0,0,0,False,False
710,1,28,1,1,1,0,True,False
947,1,19,3,1,1,0,True,False
855,1,29,1,1,1,0,False,False
596,0,16,2,0,0,0,False,False
3040,1,20,1,1,1,0,True,False
1492,1,44,1,1,1,0,True,False
505,1,21,3,1,1,0,True,False
1246,2,50,13,2,2,0,True,False
1338,1,28,0,1,1,0,True,False
