Word_Count,Homoglyphs,Total_Abnormal_Count,html_tags,js_code,Label
208,0,0,0,0,0
38,0,0,0,0,0
206,0,1,0,0,0
106,0,0,0,0,0
19,0,0,0,0,0
22,0,0,1,0,1
225,0,0,0,0,0
583,0,0,0,0,0
7,0,1,0,0,0
4,0,0,0,0,0
87,0,0,2,0,0
675,0,0,0,0,0
338,0,0,0,0,0
22,0,0,0,0,0
8,0,0,0,0,0
756,0,0,15,0,0
255,0,0,0,0,0
248,0,0,0,0,0
49,0,0,0,0,0
64,0,0,0,0,0
75,0,0,0,0,0
65,0,0,0,0,0
307,0,1,4,0,0
185,0,0,0,0,0
91,0,0,1,0,0
28,0,0,0,0,0
156,0,0,4,0,0
370,0,18,1,0,0
89,0,0,0,0,0
23,0,0,0,0,0
17,0,0,0,0,0
46,0,0,0,0,0
47,0,0,1,0,0
44,0,1,0,0,0
309,0,2,0,0,0
57,0,0,0,0,1
333,0,0,53,0,0
878,0,0,0,0,0
582,0,0,3,0,0
17,0,0,0,0,1
48,0,2,0,0,1
311,0,0,0,0,0
42,0,0,1,0,1
155,0,0,0,0,0
423,0,1,1,0,0
42,0,0,0,0,0
207,0,1,0,0,0
17,0,0,0,0,0
5,0,0,0,0,0
67,0,0,0,0,0
48,0,0,4,0,0
9,0,0,0,0,0
27,0,0,0,0,0
152,0,0,0,0,0
474,0,4,0,0,0
234,0,3,0,0,0
140,0,0,0,0,0
38,0,1,0,0,0
79,0,0,0,0,0
10,0,0,0,0,0
115,0,0,0,0,0
114,0,0,0,0,0
241,0,0,2,0,0
278,0,1,0,0,0
41,0,0,0,0,0
413,0,0,0,0,0
248,0,0,3,0,0
590,0,0,0,0,0
64,0,0,1,0,0
429,0,11,28,0,0
45,0,0,0,0,0
49,0,0,0,0,0
66,0,0,0,0,0
409,0,1,8,0,0
204,0,2,0,0,0
27,0,0,0,0,0
260,0,0,0,0,0
6,0,0,0,0,0
19,0,0,0,0,0
28,0,0,1,0,0
182,0,0,0,0,0
32,0,0,0,0,0
109,0,2,0,0,0
21,0,0,0,0,0
110,0,0,0,0,0
67,0,0,0,0,0
172,0,0,0,0,0
450,0,1,6,0,0
146,0,0,0,0,0
376,0,3,0,0,0
160,0,4,2,0,0
62,0,0,0,0,0
23,0,0,0,0,0
282,0,0,0,0,0
44,0,1,0,0,0
36,0,0,0,0,0
46,0,3,0,0,0
50,0,0,0,0,0
72,0,0,1,0,1
116,0,0,0,0,0
300,0,2,7,0,0
107,0,0,0,0,0
52,0,0,0,0,0
44,0,0,0,0,0
78,0,0,1,0,0
28,0,0,0,0,0
424,0,0,0,0,0
430,0,0,0,0,0
399,0,4,1,0,0
